Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
WUGI,1434,0,0.00,0,0.00,52.84,1434,0
KNG,1419,0,0.00,0,0.00,48.47,1119,300
TSOC,1406,0,0.00,0,0.00,28.44,1406,0
DFND,1403,0,0.00,0,0.00,36.59,1403,0
GOAT,1397,0,0.00,0,0.00,35.59,1397,0
FFSG,1376,0,0.00,0,0.00,31.98,1376,0
SMMD,1375,0,0.00,0,0.00,59.10,1375,0
IBHC,1356,0,0.00,0,0.00,24.41,1356,0
NUMV,1346,0,0.00,0,0.00,31.12,1346,0
XJH,1345,0,0.00,0,0.00,33.37,1345,0
GTIP,1321,0,0.00,0,0.00,57.03,1321,0
JPIB,1301,0,0.00,0,0.00,51.80,1301,0
FNOV,1299,0,0.00,0,0.00,35.53,1299,0
CSM,1266,0,0.00,0,0.00,85.44,1266,0
HEGD,1266,0,0.00,0,0.00,16.93,1266,0
IBHD,1255,0,0.00,0,0.00,24.40,1255,0
TFJL,1251,0,0.00,0,0.00,24.00,1251,0
IVDG,1218,0,0.00,0,0.00,12.48,1218,0
OUSM,1201,0,0.00,0,0.00,32.14,1201,0
VFVA,1172,0,0.00,0,0.00,82.12,1172,0
PNOV,1169,0,0.00,0,0.00,29.04,1169,0
HELX,1157,0,0.00,0,0.00,49.30,1157,0
MAGA,1134,0,0.00,0,0.00,30.76,1134,0
IDHD,1127,0,0.00,0,0.00,26.67,1127,0
ACIO,1100,0,0.00,0,0.00,28.03,1100,0
FMIL,1097,0,0.00,0,0.00,25.22,999,98
ICOW,1068,0,0.00,0,0.00,30.16,1068,0
PDEC,1045,0,0.00,0,0.00,29.21,1045,0
UJUL,1043,0,0.00,0,0.00,26.50,1043,0
AVDR,1030,0,0.00,0,0.00,25.90,1030,0
SYLD,1014,0,0.00,0,0.00,46.55,1014,0
IECS,1011,0,0.00,0,0.00,30.56,1011,0
THY,1000,0,0.00,0,0.00,25.40,1000,0
QMOM,967,0,0.00,0,0.00,57.28,967,0
IGHG,964,0,0.00,0,0.00,75.90,964,0
BUFF,934,0,0.00,0,0.00,33.33,934,0
DIVB,876,0,0.00,0,0.00,33.94,854,22
PWS,846,0,0.00,0,0.00,30.04,846,0
VFQY,829,0,0.00,0,0.00,103.88,829,0
TILT,766,0,0.00,0,0.00,147.93,766,0
UAPR,763,0,0.00,0,0.00,24.97,763,0
BSEP,756,0,0.00,0,0.00,29.46,756,0
FDG,732,0,0.00,0,0.00,76.70,732,0
FFTG,728,0,0.00,0,0.00,29.04,728,0
DDWM,720,0,0.00,0,0.00,28.81,720,0
JCPB,669,0,0.00,0,0.00,55.39,669,0
PSMC,669,0,0.00,0,0.00,13.48,669,0
EFAD,662,0,0.00,0,0.00,44.19,662,0
RSXJ,654,0,0.00,0,0.00,36.50,654,0
NJAN,615,0,0.00,0,0.00,38.43,615,0
DFVS,597,0,0.00,0,0.00,14.40,597,0
EAOA,595,0,0.00,0,0.00,31.00,595,0
TCTL,590,0,0.00,0,0.00,30.50,590,0
VXZ,557,0,0.00,0,0.00,30.25,457,100
IGEB,532,0,0.00,0,0.00,54.52,532,0
FAUG,526,0,0.00,0,0.00,34.89,526,0
GCOW,519,0,0.00,0,0.00,29.65,519,0
EYLD,504,0,0.00,0,0.00,35.60,504,0
USMF,502,0,0.00,0,0.00,36.03,502,0
STLV,501,0,0.00,0,0.00,25.22,501,0
FDEM,493,0,0.00,0,0.00,28.20,493,0
PBND,491,0,0.00,0,0.00,26.41,491,0
DEFA,474,0,0.00,0,0.00,31.12,474,0
BUYZ,440,0,0.00,0,0.00,53.80,440,0
IEDI,440,0,0.00,0,0.00,40.76,440,0
PBTP,434,0,0.00,0,0.00,25.95,434,0
IQM,433,0,0.00,0,0.00,46.15,267,166
ALFA,432,0,0.00,0,0.00,80.68,432,0
BLDG,427,0,0.00,0,0.00,29.10,427,0
BAPR,421,0,0.00,0,0.00,29.75,421,0
NJUL,415,0,0.00,0,0.00,44.67,415,0
DBJA,401,0,0.00,0,0.00,25.68,401,0
OSCV,400,0,0.00,0,0.00,29.38,400,0
FLQS,395,0,0.00,0,0.00,33.60,395,0
KOCT,383,0,0.00,0,0.00,26.10,383,0
UAUG,378,0,0.00,0,0.00,28.03,378,0
BJUN,359,0,0.00,0,0.00,31.22,359,0
EAOK,355,0,0.00,0,0.00,27.14,355,0
IBMP,341,0,0.00,0,0.00,27.27,341,0
XJR,336,0,0.00,0,0.00,35.24,336,0
BOCT,335,0,0.00,0,0.00,30.24,335,0
FDEV,323,0,0.00,0,0.00,28.15,323,0
TFIV,316,0,0.00,0,0.00,23.66,316,0
LSLT,306,0,0.00,0,0.00,28.68,306,0
NOCT,305,0,0.00,0,0.00,36.30,305,0
IEME,304,0,0.00,0,0.00,34.33,304,0
GOVZ,301,0,0.00,0,0.00,22.26,301,0
PEX,301,0,0.00,0,0.00,32.83,301,0
FMAY,300,0,0.00,0,0.00,34.58,300,0
KJUL,300,0,0.00,0,0.00,26.02,300,0
PSMB,300,0,0.00,0,0.00,15.45,300,0
VMOT,300,0,0.00,0,0.00,27.37,300,0
XVV,299,0,0.00,0,0.00,28.90,299,0
ESGG,280,0,0.00,0,0.00,126.95,280,0
LQDI,275,0,0.00,0,0.00,29.09,275,0
PJUN,275,0,0.00,0,0.00,30.14,275,0
NAPR,270,0,0.00,0,0.00,35.58,270,0
FLQM,264,0,0.00,0,0.00,38.77,264,0
WLDR,257,0,0.00,0,0.00,23.95,257,0
FCPI,256,0,0.00,0,0.00,26.18,256,0
LEAD,251,0,0.00,0,0.00,48.23,251,0
LKOR,247,0,0.00,0,0.00,61.01,247,0
LUXE,247,0,0.00,0,0.00,27.67,247,0
FIBR,246,0,0.00,0,0.00,102.15,246,0
FJUN,240,0,0.00,0,0.00,34.07,240,0
LVHI,237,0,0.00,0,0.00,24.21,237,0
NUEM,235,0,0.00,0,0.00,35.25,235,0
RESE,235,0,0.00,0,0.00,37.73,235,0
IBMO,230,0,0.00,0,0.00,27.11,230,0
QLC,226,0,0.00,0,0.00,41.86,226,0
EAOR,225,0,0.00,0,0.00,29.52,225,0
TTAC,216,0,0.00,0,0.00,47.50,216,0
IVRA,208,0,0.00,0,0.00,11.89,208,0
PMAY,200,0,0.00,0,0.00,28.57,200,0
RTAI,200,0,0.00,0,0.00,26.06,200,0
DFHY,179,0,0.00,0,0.00,25.16,179,0
AGT,168,0,0.00,0,0.00,26.38,18,150
PSMM,163,0,0.00,0,0.00,14.66,163,0
EAOM,153,0,0.00,0,0.00,27.93,153,0
ACSI,152,0,0.00,0,0.00,43.94,152,0
YDEC,149,0,0.00,0,0.00,20.49,149,0
IVLC,147,0,0.00,0,0.00,12.22,147,0
HYXU,143,0,0.00,0,0.00,56.77,143,0
IBHE,131,0,0.00,0,0.00,24.95,131,0
JMUB,127,0,0.00,0,0.00,55.03,127,0
DDLS,121,0,0.00,0,0.00,31.72,121,0
MRSK,121,0,0.00,0,0.00,27.80,121,0
ROMO,120,0,0.00,0,0.00,25.81,120,0
STSB,120,0,0.00,0,0.00,42.67,120,0
GMOM,115,0,0.00,0,0.00,26.74,115,0
TDV,115,0,0.00,0,0.00,54.84,115,0
PBEE,114,0,0.00,0,0.00,29.75,114,0
GVAL,113,0,0.00,0,0.00,22.33,113,0
VAMO,113,0,0.00,0,0.00,20.39,113,0
BFEB,101,0,0.00,0,0.00,27.26,101,0
TBJL,101,0,0.00,0,0.00,24.17,101,0
JULZ,100,0,0.00,0,0.00,29.42,100,0
PSMG,100,0,0.00,0,0.00,16.60,100,0
TTAI,100,0,0.00,0,0.00,32.93,100,0
MOTI,97,0,0.00,0,0.00,34.64,97,0
VFMF,85,0,0.00,0,0.00,87.67,85,0
IPFF,67,0,0.00,0,0.00,15.70,67,0
MAAX,62,0,0.00,0,0.00,25.04,62,0
FLHY,56,0,0.00,0,0.00,26.62,56,0
BUFR,54,0,0.00,0,0.00,21.59,54,0
FFHG,54,0,0.00,0,0.00,31.02,54,0
OEUR,50,0,0.00,0,0.00,25.20,50,0
